source_id,Xi,Xn,PMra,PMdec,BP0-RP0,G0_c,pmra_error,pmdec_error,bp_rp_error,pmra_pmdec_corr,phot_g_mean_mag_err,phot_bp_mean_mag_err,posterior_prob,last_memb_posterior_prob
1430361067485999872,0.5915151997984637,0.6625829895343831,-1.2670425920008097,1.223495769715785,-0.4295211594790782,2.013988057243161,0.3288896761868085,0.5744452945988149,0.137244565193793,-0.0544889159500598,0.4133230967072255,0.19266875,0.0,0.89835733
1427124517570826112,0.699880559843786,0.5733183571152018,1.1751934091660052,1.3055033671092584,0.2056857263424402,-0.2157057247364175,0.0483186161962478,0.0617858895321769,0.1011228760856624,0.0536653511226177,0.0221583594834693,0.03906114,1.0,0.03027657
1430362549248928896,0.5973565641781134,0.6659870060352916,-1.069586561578408,-1.6329756838265468,-0.8159140430355415,0.132556802166344,0.2829223516662716,0.351586163946635,0.1906712551962839,0.3152807652950287,0.2278650258050763,0.18584119,1.0,0.027891835
1430360517730163328,0.5882624405862565,0.6599658494290523,2.064949210402245,1.2154698235986443,-0.0095151910448406,0.8324062013317267,0.0829484241543056,0.1081115910425767,0.1077535524022763,0.0915292501449585,0.0672982860667735,0.057954732,1.0,0.0005550459
1423915047425091072,0.5347977799328014,0.3175229232258016,-0.0121485422529224,0.8960846629905576,1.1884474805845493,-1.2850048970189794,0.0655584909966853,0.0572585867719298,0.1039515172437504,0.3403262794017792,0.0313740830249464,0.040015012,1.0,0.00016105441
1430368386110240000,0.5745677382714592,0.6585870549016849,1.0285095661391206,-0.5738574077848149,1.4799689511462804,0.6589226178618406,0.1410794145465876,0.1452046694335145,0.2116216165507923,0.1384264379739761,0.1045926563610448,0.14683571,1.0,6.847708e-05
1423915661603866752,0.5364401818423359,0.3199024128924605,0.7391558251474601,-0.205950843899616,0.1401659283602314,-0.1477963986860441,0.0746723037054046,0.0734288389584274,0.1035817446442932,0.1986400634050369,0.0417492363058425,0.045335982,1.0,9.0169335e-05
1430371414062822016,0.5801907594217637,0.6659558043362153,0.0548928069921122,0.907686498675333,0.3722045168301826,-0.6672087923642607,0.0374484836238192,0.0527386706154596,0.0969556274310016,0.0544027276337146,0.0234074013725912,0.032259367,1.0,0.00029340188
1427134413175511168,0.68234885096812,0.5756789485162782,1.1325109067019228,-1.2108677947584627,-0.1190952769320255,0.6695313551254612,0.1151137380897846,0.1275571009710823,0.1757864017791877,0.134796530008316,0.0946383449195264,0.12040681,1.0,5.714207e-05
1427134619333947648,0.6817527600019175,0.5759814795750811,0.2615965390069077,1.0719446841298408,-0.2656358359992444,-0.1745573671836356,0.0547356526448402,0.060542875073801,0.0966507844015073,0.1063919514417648,0.0345961102319873,0.03556808,1.0,0.000111976995
